Ano 1º Sintoma(s),0-19,20-39,40-59,60-79,80 e +,Total
2014,9,19,29,26,11,94
2015,20,54,127,188,120,509
2016,7,10,28,36,26,107
2017,0,2,1,1,1,5
2018,0,4,2,7,2,15
2019,8,31,54,98,80,271
2020,5,22,36,43,38,144
2021,4,9,22,25,9,69
2022,9,29,60,112,81,291
2023,14,29,55,109,87,294
Total,76,209,414,645,455,1799
